Package/Class,Method,Classification,Type,Resource,Potential Exploit(s)
java.lang.ProcessBuilder,start(),Sink,SINK_PROCESS_OPERATION,FlowDroid,
java.lang.ProcessBuilder,startPipeline(),Sink,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.ProcessBuilder,command(),Both,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.ProcessBuilder,directory(),Both,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.ProcessBuilder,environment(),Source/Questionable,SOURCE_ENVIRONMENT,Java SE 10 JavaDoc,
java.lang.ProcessBuilder,inheritIO(),Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.ProcessBuilder,redirectInput(),Sink/Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.ProcessBuilder,redirectOutput(),Sink/Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.ProcessBuilder,<init>(),Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.Process,pid(),Source,SOURCE_ENVIRONMENT,Java SE 10 JavaDoc,
java.lang.System,console(),Sink/Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.System,getProperties(),Source,SOURCE_ENVIRONMENT,Java SE 10 JavaDoc,
java.lang.System,getenv(),Source,SOURCE_ENVIRONMENT,Java SE 10 JavaDoc,
java.lang.System,getProperty(),Source,SOURCE_ENVIRONMENT,Java SE 10 JavaDoc,
java.lang.System,load(),Sink,SINK_CODE_GENERATION,CodeMaster,Command Injection
java.lang.System,loadLibrary(),Sink,SINK_CODE_GENERATION,CodeMaster,Command Injection
java.lang.System,getSecurityManager(),Source,SOURCE_SETTINGS,Java SE 10 JavaDoc,
java.lang.System,inheritedChannel(),Both,SINK_SYSTEM,Java SE 10 JavaDoc,
java.lang.System,setProperties(),Sink/Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.System,setProperty(),Sink/Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.System,setSecurityManager(),Sink/Questionable,SINK_SYSTEM,Java SE 10 JavaDoc,
java.lang.System,setOut(),Sink/Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.System,setIn(),Both,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.Thread,start(),Sink/Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.Thread,run(),Sink/Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,
java.lang.Thread,resume(),Sink/Questionable,,Java SE 10 JavaDoc,
java.lang.Thread,getId(),Source/Questionable,,Java SE 10 JavaDoc,
java.lang.Thread,getName(),Source/Questionable,,Java SE 10 JavaDoc,
java.lang.Thread,getState(),Source/Questionable,,Java SE 10 JavaDoc,
java.lang.Runtime,exec(),Sink/Questionable,SINK_PROCESS_OPERATION,Java SE 10 JavaDoc,Command Injection