Package/Class,Method,Classification,Type,Resource
javax.crypto.Cipher,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.Cipher,init(),Questionable,,Java SE 10 JavaDoc
javax.crypto.Cipher,getBlockSize(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.Cipher,getIV(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.CipherInputStream,read(),Both,SOURCE_FILE,Java SE 10 JavaDoc
javax.crypto.CipherOutputStream,write(),Sink,SINK_FILE,Java SE 10 JavaDoc
javax.crypto.CipherOutputStream,flush(),Sink,SINK_FILE,Java SE 10 JavaDoc
javax.crypto.EncryptedPrivateKeyInfo,getAlgName(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.EncryptedPrivateKeyInfo,getAlgParameters(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.EncryptedPrivateKeyInfo,getEncoded(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.EncryptedPrivateKeyInfo,getEncryptedData(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.EncryptedPrivateKeyInfo,getKeySpec(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.KeyAgreement,generateSecret(),Questionable,,Java SE 10 JavaDoc
javax.crypto.KeyAgreement,init(),Questionable,,Java SE 10 JavaDoc
javax.crypto.KeyAgreement,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.KeyGenerator,generateKey(),Questionable,,Java SE 10 JavaDoc
javax.crypto.KeyGenerator,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.KeyGenerator,init(),Questionable,,Java SE 10 JavaDoc
javax.crypto.Mac,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.SealedObject,init(),Questionable,,Java SE 10 JavaDoc
javax.crypto.SealedObject,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.SealedObject,getObject(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.SecretKeyFactory,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.SecretKeyFactory,generateSecret(),Questionable,,Java SE 10 JavaDoc
javax.crypto.SecretKeyFactory,getKeySpec(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.SecretKeyFactory,translateKey(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.interfaces.DHKey,getParams(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.interfaces.DHPrivateKey,getX(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.interfaces.PBEKey,getIterationCount(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.interfaces.PBEKey,getPassword(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.interfaces.PBEKey,getSalt(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.DESedeKeySpec,getKey(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.DESKeySpec,getKey(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.DHParameterSpec,getG(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.DHParameterSpec,getL(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.DHParameterSpec,getP(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.DHPrivateKeySpec,getG(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.DHPrivateKeySpec,getP(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.DHPrivateKeySpec,getX(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.GCMParameterSpec,getIV(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.GCMParameterSpec,getTLen(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.IvParameterSpec,getIV(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.OAEPParameterSpec,getDigestAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.OAEPParameterSpec,getMGFAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.OAEPParameterSpec,getMGFParameters(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.OAEPParameterSpec,getPSource(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.PBEKeySpec,getIterationCount(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.PBEKeySpec,clearPassword(),Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.PBEKeySpec,getPassword(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.PBEKeySpec,getSalt(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.PBEKeySpec,getKeyLength(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.PBEParameterSpec,getIterationCount(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.PBEParameterSpec,getParameterSpec(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.PBEParameterSpec,getSalt(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.PSource,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.spec.PSource.PSpecified,getValue(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.RC2ParameterSpec,getIV(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.RC5ParameterSpec,getIV(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.RC5ParameterSpec,getRounds(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.SecretKeySpec,getAlgorithm(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.SecretKeySpec,getEncoded(),Source/Questionable,,Java SE 10 JavaDoc
javax.crypto.SecretKeySpec,getFormat(),Source/Questionable,,Java SE 10 JavaDoc